numThreads,type,nanoseconds
8,Faasm remote snap,131123880
8,Faasm remote snap,128554684
8,Faasm remote snap,126655359
8,Faasm remote snap,127646087
8,Faasm remote snap,135199203
8,Faasm remote snap,127035983
8,Faasm remote snap,127700175
8,Faasm remote snap,145187164
8,Faasm remote snap,121154915
8,Faasm remote snap,125934586
8,Faasm remote snap,123228695
8,Faasm remote snap,127524955
8,Faasm remote snap,124367461
8,Faasm remote snap,121592248
8,Faasm remote snap,123009539
8,Faasm remote snap,123935700
8,Faasm remote snap,127154663
8,Faasm remote snap,138525472
8,Faasm remote snap,120193029
8,Faasm remote snap,119868964
8,Faasm remote snap,124452082
8,Faasm remote snap,122926370
8,Faasm remote snap,131230195
8,Faasm remote snap,120387937
8,Faasm remote snap,125556453
8,Faasm remote snap,132956430
8,Faasm remote snap,133670550
8,Faasm remote snap,120446493
8,Faasm remote snap,132152606
8,Faasm remote snap,119460451
8,Faasm remote snap,127312304
8,Faasm remote snap,128328150
8,Faasm remote snap,124942232
8,Faasm remote snap,132453200
8,Faasm remote snap,121699523
8,Faasm remote snap,137211911
8,Faasm remote snap,135337636
8,Faasm remote snap,179381326
8,Faasm remote snap,179474907
8,Faasm remote snap,178212150
8,Faasm remote snap,182433373
8,Faasm remote snap,170854631
8,Faasm remote snap,175721576
8,Faasm remote snap,180349262
8,Faasm remote snap,190549720
8,Faasm remote snap,180946346
8,Faasm remote snap,174143829
8,Faasm remote snap,188190509
8,Faasm remote snap,188032700
8,Faasm remote snap,179638328
8,Faasm remote snap,185117056
8,Faasm remote snap,194628825
8,Faasm remote snap,186269629
8,Faasm remote snap,185293354
8,Faasm remote snap,180036708
8,Faasm remote snap,181426268
8,Faasm remote snap,186237298
8,Faasm remote snap,178971140
8,Faasm remote snap,189395223
8,Faasm remote snap,180922958
8,Faasm remote snap,179289382
8,Faasm remote snap,186051041
8,Faasm remote snap,186136297
8,Faasm remote snap,175931664
8,Faasm remote snap,188548999
8,Faasm remote snap,176695877
8,Faasm remote snap,179089806
8,Faasm remote snap,183472006
8,Faasm remote snap,185081992
8,Faasm remote snap,186851847
8,Faasm remote snap,178019894
8,Faasm remote snap,179523913
8,Faasm remote snap,182174098
8,Faasm remote snap,185293335
8,Faasm remote snap,177966955
8,Faasm remote snap,183665130
8,Faasm remote snap,177960266
8,Faasm remote snap,199125382
8,Faasm remote snap,183361308
8,Faasm remote snap,180492073
8,Faasm remote snap,184501533
8,Faasm remote snap,183661571
